question	frequency	company
简述 Java 锁升级的机制  中等 参考1	16	meituan
如何解决 Spring 的循环依赖问题？  简单	12	meituan
什么是公平锁？什么是非公平锁？  简单	10	meituan
HTTP 与 HTTPS 有哪些区别？  中等 参考1 参考2	54	meituan
TCP 怎么保证可靠传输？  中等 参考1 参考2	48	meituan
TCP 与 UDP 在网络协议中的哪一层，他们之间有什么区别？  简单 参考1 参考2	43	meituan
简述 TCP 三次握手以及四次挥手的流程。为什么需要三次握手以及四次挥手？  中等 参考1 参考2	42	meituan
从输入 URL 到展现页面的全过程  困难 参考1	42	meituan
TCP 长连接和短连接有那么不同的使用场景？  简单	38	meituan
HTTP 中 GET 和 POST 区别  简单 参考1	36	meituan
简述对称与非对称加密的概念  简单	26	meituan
简述常见的 HTTP 状态码的含义（301，304，401，403）  简单 参考1	22	meituan
Cookie 和 Session 的关系和区别是什么？  简单	22	meituan
简述 DDOS 攻击原理，如何防范它？  简单	22	meituan
简述 HTTP 1.0，1.1，2.0 的主要区别  简单 参考1 参考2	20	meituan
什么是 ARP 协议？简述其使用场景  简单	18	meituan
简述在四层和七层网络协议中负载均衡的原理	16	meituan
什么是 TCP 粘包和拆包？  简单	16	meituan
RestFul 是什么？RestFul 请求的 URL 有什么特点？  简单 参考1 参考2 参考3	16	meituan
简述 HTTP 报文头部的组成结构  简单	14	meituan
MySQL 为什么使用 B+ 树来作索引，对比 B 树它的优点和缺点是什么？  中等 参考1 参考2	60	meituan
简述乐观锁以及悲观锁的区别以及使用场景  简单 参考1 参考2	54	meituan
简述 MySQL 常见索引类型，介绍一下覆盖索引	52	meituan
Redis 如何实现分布式锁？  困难 参考1 参考2	52	meituan
简述 Redis 持久化中 RDB 以及 AOF 方案的优缺点  困难 参考1 参考2	44	meituan
简述事务的四大特性	42	meituan
简述 Redis 中常见类型的底层数据结构 参考1 参考2	40	meituan
MySQL 有哪些常见的存储引擎？它们的区别是什么？  中等	39	meituan
数据库的事务隔离级别有哪些？各有哪些优缺点？  中等 参考1 参考2	38	meituan
为什么 Redis 在单线程下能如此快？  中等 参考1	38	meituan
简述脏读和幻读的发生场景，InnoDB 是如何解决幻读的？  中等 参考1 参考2	38	meituan
简述 Redis 的线程模型以及底层架构设计	36	meituan
聚簇索引和非聚簇索引有什么区别？  简单 参考1 参考2	36	meituan
简述 Redis 的过期机制和内存淘汰策略  困难	34	meituan
简述 Redis 的哨兵机制  中等	32	meituan
简述 Redis 如何处理热点 key 访问	32	meituan
什么是数据库事务，MySQL 为什么会使用 InnoDB 作为默认选项  中等 参考1 参考2	30	meituan
进程和线程之间有什么区别？  简单 参考1 参考2	46	meituan
进程间有哪些通信方式？  困难 参考1 参考2	36	meituan
简述 select, poll, epoll 的使用场景以及区别，epoll 中水平触发以及边缘触发有什么不同？  困难 参考1 参考2	20	meituan
多线程和多进程的区别是什么？  简单	16	meituan
为什么进程切换慢，线程切换快？  简单	14	meituan
简述创建进程的流程  中等	14	meituan
简述 Linux 虚拟内存的页面置换算法  中等	14	meituan
简述 Linux 进程调度的算法  困难 参考1△ 	12	meituan
电商系统中，如何实现秒杀功能？如何解决商品的超卖问题？  困难 参考1	58	meituan
简述 CAP 理论  简单	38	meituan
如何实现唯一的分布式 ID  中等	22	meituan
简述中间件削峰和限流的使用场景	18	meituan
简述 Kafka 的基本架构，如何用 Kafka 保证消息的有序性？	16	meituan
简述 Dubbo 服务注册与发现的过程  简单	14	meituan
简述一致性哈希算法的实现方式及原理  困难	10	meituan
下一份工作希望学习到什么？  简单	32	meituan
项目中最难的地方是哪里？你学习到了什么？	32	meituan
最近在看什么书吗，有没有接触过什么新技术？  简单	32	meituan
团队合作沟通中遇到过什么问题？  中等	26	meituan
未来的职业规划是什么？  简单	22	meituan
成长过程中影响你最深的事件和人  简单	20	meituan
你用过美团吗？说说对对美团的看法，使用上有哪些优缺点  简单	18	meituan
Java 异常有哪些类型？  简单	36	pdd
Java 中垃圾回收机制中如何判断对象需要回收？常见的 GC 回收算法有哪些？  中等 参考1 参考2 参考3	34	pdd
简述 BIO, NIO, AIO 的区别  困难 参考1	34	pdd
JVM 内存是如何对应到操作系统内存的？  中等 参考1 参考2	26	pdd
如何设计 Java 的异常体系？  简单	24	pdd
简述 Synchronized，Volatile，可重入锁的不同使用场景及优缺点  困难 参考1	24	pdd
如何设计一个线程池  中等	22	pdd
Java 类的加载流程是怎样的？什么是双亲委派机制？  简单	22	pdd
Spring MVC 的原理和流程  中等	20	pdd
简述常见的工厂模式以及单例模式的使用场景  中等	20	pdd
什么是内存泄漏，怎么确定内存泄漏？  简单	20	pdd
实现单例模式	18	pdd
简述 Java 的反射机制及其应用场景  简单 参考1 参考2	18	pdd
简述 TCP 三次握手以及四次挥手的流程。为什么需要三次握手以及四次挥手？  中等 参考1 参考2	52	pdd
TCP 怎么保证可靠传输？  中等 参考1 参考2	34	pdd
简述 HTTP 1.0，1.1，2.0 的主要区别  简单 参考1 参考2	28	pdd
TCP 与 UDP 在网络协议中的哪一层，他们之间有什么区别？  简单 参考1 参考2	26	pdd
HTTP 与 HTTPS 有哪些区别？  中等 参考1 参考2	26	pdd
如何防止传输内容被篡改？  中等	24	pdd
从输入 URL 到展现页面的全过程  困难 参考1	22	pdd
HTTP 是无状态的吗？需要保持状态的场景应该怎么做？  简单	20	pdd
简述 HTTPS 的加密与认证过程  中等 参考1	18	pdd
简述 RPC 的调用过程  简单	18	pdd
什么是 ARP 协议？简述其使用场景  简单	16	pdd
简述 TCP 滑动窗口以及重传机制  简单 参考1	14	pdd
TCP 如何实现数据有序性？  中等	12	pdd
数据库的事务隔离级别有哪些？各有哪些优缺点？  中等 参考1 参考2	38	pdd
MySQL 为什么使用 B+ 树来作索引，对比 B 树它的优点和缺点是什么？  中等 参考1 参考2	32	pdd
Redis的缓存淘汰策略有哪些？  简单 参考1 参考2	30	pdd
为什么 Redis 在单线程下能如此快？  中等 参考1	24	pdd
简述 Redis 持久化中 RDB 以及 AOF 方案的优缺点  困难 参考1 参考2	24	pdd
什么是数据库事务，MySQL 为什么会使用 InnoDB 作为默认选项  中等 参考1 参考2	24	pdd
数据库的读写分离的作用是什么？如何实现？  中等	22	pdd
聚簇索引和非聚簇索引有什么区别？  简单 参考1 参考2	22	pdd
数据库索引的实现原理是什么？  简单	20	pdd
如何解决缓存与数据库不一致的问题？  中等 参考1	20	pdd
简述数据库中的 ACID 分别是什么？  简单	18	pdd
数据库索引的叶子结点为什么是有序链表？	14	pdd
进程和线程之间有什么区别？  简单 参考1 参考2	36	pdd
进程间有哪些通信方式？  困难 参考1 参考2	34	pdd
简述几个常用的 Linux 命令以及他们的功能  简单	26	pdd
简述 Linux 进程调度的算法  困难 参考1	20	pdd
简述 select, poll, epoll 的使用场景以及区别，epoll 中水平触发以及边缘触发有什么不同？  困难 参考1 参考2	16	pdd
项目上有什么技术难点？  中等	26	pdd
了解高并发的解决方案吗？例如动静分离，缓存，负载均衡  简单	24	pdd
有哪些实现服务发现的方法？	22	pdd
如何阅读大型项目的源码？	12	pdd
未来的职业规划是什么？	34	pdd
△ 20能接受多大强度的加班？  简单	20	pdd
你用过拼多多吗？说说对对拼多多的看法，使用上有哪些优缺点  简单	18	pdd
对下一家入职的公司主要看重哪些方面？  简单	12	pdd
自己有哪些不足之处，准备如何提升？  中等	12	pdd
Java 中垃圾回收机制中如何判断对象需要回收？常见的 GC 回收算法有哪些？  中等 参考1 参考2 参考3	56	bytedance
HashMap 与 ConcurrentHashMap 的实现原理是怎样的？ConcurrentHashMap 是如何保证线程安全的？  中等 参考1 参考2 参考3	50	bytedance
hashmap 和 hashtable 的区别是什么？  简单	46	bytedance
Synchronized 关键字底层是如何实现的？它与 Lock 相比优缺点分别是什么？  中等 参考1 参考2	46	bytedance
HashMap 实现原理，为什么使用红黑树？  中等	40	bytedance
简述 Java 的反射机制及其应用场景  简单 参考1 参考2	30	bytedance
简述 Synchronized，volatile，可重入锁的不同使用场景及优缺点  困难 参考1	28	bytedance
简述 BIO, NIO, AIO 的区别  困难 参考1	28	bytedance
HashMap 1.7 / 1.8 的实现区别  简单	26	bytedance
Java 类的加载流程是怎样的？什么是双亲委派机制？  简单	24	bytedance
JMM 中内存模型是怎样的？什么是指令序列重排序？  中等 参考1	22	bytedance
Java 线程间有多少通信方式？  简单	20	bytedance
Java 中接口和抽象类的区别  简单	20	bytedance
简述 ArrayList 与 LinkedList 的底层实现以及常见操作的时间复杂度  简单	20	bytedance
Java 常见锁有哪些？ReetrantLock 是怎么实现的？  中等	18	bytedance
ThreadLocal 实现原理是什么？  简单 参考1 参考2	18	bytedance
CAS 实现原理是什么？  简单	18	bytedance
简述 Spring 的初始化流程  中等	18	bytedance
简述常见的工厂模式以及单例模式的使用场景  中等	18	bytedance
简述 Netty 线程模型，Netty 为什么如此高效？  中等	14	bytedance
线程池是如何实现的？简述线程池的任务策略  中等	14	bytedance
简述生产者消费者模型  简单	14	bytedance
简述 Spring 的 IOC 机制  简单	14	bytedance
Java 如何高效进行数组拷贝  简单	12	bytedance
成员变量和方法的区别？  简单	12	bytedance
MVC 模型和 MVVM 模型的区别  中等	12	bytedance
从输入 URL 到展现页面的全过程  困难 参考1	46	bytedance
TCP 怎么保证可靠传输？  中等 参考1 参考2	42	bytedance
TCP 中常见的拥塞控制算法有哪些？  中等 参考1 参考2	42	bytedance
HTTP 与 HTTPS 有哪些区别？  中等 参考1 参考2	40	bytedance
简述常见的 HTTP 状态码的含义（301，304，401，403）  简单 参考1	38	bytedance
简述 TCP 三次握手以及四次挥手的流程。为什么需要三次握手以及四次挥手？  中等 参考1 参考2	38	bytedance
简述 HTTPS 的加密与认证过程  中等 参考1	34	bytedance
什么是跨域，什么情况下会发生跨域请求？  中等 参考1	34	bytedance
DNS 查询服务器的基本流程是什么？DNS 劫持是什么？  中等 参考1 参考2	28	bytedance
TCP的拥塞控制具体是怎么实现的？UDP有拥塞控制吗？  中等 参考1	26	bytedance
TCP 与 UDP 在网络协议中的哪一层，他们之间有什么区别？  简单 参考1 参考2	26	bytedance
什么是 TCP 粘包和拆包？  简单	24	bytedance
简述 HTTP 1.0，1.1，2.0 的主要区别  简单 参考1 参考2	24	bytedance
简述对称与非对称加密的概念  简单	22	bytedance
简述 OSI 七层模型，TCP，IP 属于哪一层？  简单 参考1	22	bytedance
HTTP 的方法有哪些？  简单 参考1	20	bytedance
简述 TCP 滑动窗口以及重传机制  简单 参考1	18	bytedance
简述 JWT 的原理和校验机制  中等	16	bytedance
Cookie 和 Session 的关系和区别是什么？  简单	16	bytedance
简述 RPC 的调用过程  简单	16	bytedance
TCP 挥手时出现大量 CLOSE_WAIT 或 TIME_WAIT 怎么解决？  简单 参考1 参考2	15	bytedance
为什么需要序列化？有什么序列化的方式？  中等	14	bytedance
HTTP 中 GET 和 POST 区别  简单 参考1	12	bytedance
什么是中间人攻击？如何防止攻击？  中等	12	bytedance
简述 iPv4 和 iPv6 的区别  简单	2	bytedance
MySQL 为什么使用 B+ 树来作索引，对比 B 树它的优点和缺点是什么？  中等 参考1 参考2	66	bytedance
数据库的事务隔离级别有哪些？各有哪些优缺点？  中等 参考1 参考2	42	bytedance
简述 Redis 持久化中 RDB 以及 AOF 方案的优缺点  困难 参考1 参考2	36	bytedance
Redis 如何实现分布式锁？  困难 参考1 参考2	36	bytedance
Redis 序列化有哪些方式？  中等	34	bytedance
简述 Redis 的哨兵机制  中等	34	bytedance
简述 Redis 中如何防止缓存雪崩和缓存击穿  中等 参考1 参考2	30	bytedance
产生死锁的必要条件有哪些？如何解决死锁？  中等 参考1 参考2 参考3	30	bytedance
简述 Redis 中常见类型的底层数据结构 参考1 参考2	28	bytedance
简述什么是最左匹配原则  简单	28	bytedance
简述 Redis 的过期机制和内存淘汰策略  困难	26	bytedance
数据库有哪些常见索引？数据库设计的范式是什么？  中等 参考1	24	bytedance
简述乐观锁以及悲观锁的区别以及使用场景  简单 参考1 参考2	24	bytedance
MySQL 中 join 与 left join 的区别是什么？  简单	24	bytedance
简述 MySQL MVCC 的实现原理  困难 参考1	24	bytedance
简述脏读和幻读的发生场景，InnoDB 是如何解决幻读的？  中等 参考1 参考2	22	bytedance
Redis 有几种数据结构？Zset 是如何实现的？  中等 参考1 参考2	20	bytedance
简述 Redis 中跳表的应用以及优缺点  中等	20	bytedance
聚簇索引和非聚簇索引有什么区别？  简单 参考1 参考2	18	bytedance
MySQL 中 varchar 和 char 的区别是什么？  简单	17	bytedance
简述数据库中的 ACID 分别是什么？  简单	16	bytedance
简述 MySQL 三种日志的使用场景  中等 参考1 参考2	16	bytedance
模糊查询是如何实现的？  简单	16	bytedance
并发事务会引发哪些问题？如何解决？  中等	14	bytedance
什么是数据库事务，MySQL 为什么会使用 InnoDB 作为默认选项  中等 参考1 参考2	12	bytedance
进程间有哪些通信方式？  困难 参考1 参考2	70	bytedance
简述 select, poll, epoll 的使用场景以及区别，epoll 中水平触发以及边缘触发有什么不同？  困难 参考1 参考2	44	bytedance
进程和线程之间有什么区别？  简单 参考1 参考2	44	bytedance
简述操作系统如何进行内存管理  中等 参考1 参考2	40	bytedance
操作系统中，虚拟地址与物理地址之间如何映射？  中等	40	bytedance
简述操作系统中的缺页中断  中等 参考1	26	bytedance
什么时候会由用户态陷入内核态？  简单	24	bytedance
简述自旋锁与互斥锁的使用场景  中等	22	bytedance
简述 mmap 的使用场景以及原理  中等	20	bytedance
线程间有哪些通信方式？  中等	20	bytedance
Linux 下如何查看端口被哪个进程占用？  简单	20	bytedance
两个线程交替打印一个共享变量  中等	18	bytedance
简述 Linux 进程调度的算法  困难 参考1	16	bytedance
简述 Linux 零拷贝的原理  中等	12	bytedance
什么情况下，进程会进行切换？  简单	12	bytedance
Linux 中虚拟内存和物理内存有什么区别？有什么优点？  中等	12	bytedance
简述 traceroute 命令的原理  简单	10	bytedance
简述 CAP 理论  简单	40	bytedance
简述常见的负载均衡算法  简单 参考1	22	bytedance
设计一个阻塞队列  中等	18	bytedance
简述生产者消费者模型  简单	16	bytedance
简述 MapReduce 的原理  中等	12	bytedance
kafka 如何保证消息一致性？  中等	12	bytedance
设计 Tiny URL 系统  中等	12	bytedance
停车场有有限个车位，有多个车来抢车位，设计一个系统需要根据车辆进入和离开停车场的时间进行计费  困难	10	bytedance
请简单自我介绍一下  简单	34	bytedance
项目中最难的地方是哪里？你学习到了什么？  困难	30	bytedance
你的老师和同学是如何评价你的？  简单	22	bytedance
最近在看什么书吗，有没有接触过什么新技术？	14	bytedance
HashMap 与 ConcurrentHashMap 的实现原理是怎样的？ConcurrentHashMap 是如何保证线程安全的？  中等 参考1 参考2 参考3	60	kuaishou
简述 CAS 原理，什么是 ABA 问题，怎么解决？	44	kuaishou
Java 中垃圾回收机制中如何判断对象需要回收？常见的 GC 回收算法有哪些？  中等 参考1 参考2 参考3	40	kuaishou
简述 Synchronized，Volatile，可重入锁的不同使用场景及优缺点  困难 参考1	36	kuaishou
Synchronized 关键字底层是如何实现的？它与 Lock 相比优缺点分别是什么？  中等 参考1 参考2	36	kuaishou
线程池是如何实现的？简述线程池的任务策略  中等	34	kuaishou
简述 ArrayList 与 LinkedList 的底层实现以及常见操作的时间复杂度  简单	34	kuaishou
简述 BIO, NIO, AIO 的区别  困难 参考1	32	kuaishou
== 和 equals() 的区别？  简单 参考1	28	kuaishou
Java 常见锁有哪些？ReetrantLock 是怎么实现的？  中等	26	kuaishou
JMM 中内存模型是怎样的？什么是指令序列重排序？  中等 参考1	26	kuaishou
实现单例设计模式（懒汉，饿汉）  中等 参考1 参考2	26	kuaishou
volatile 关键字解决了什么问题，它的实现原理是什么？  中等 参考1	24	kuaishou
JVM 内存是如何对应到操作系统内存的？  中等 参考1 参考2	24	kuaishou
简述 Spring bean 的生命周期  中等 参考1 参考2	24	kuaishou
简述 Java 锁升级的机制  中等 参考1	22	kuaishou
简述 Java AQS 的原理以及使用场景  中等	22	kuaishou
简述 Spring AOP 的原理  中等 参考1 参考2	20	kuaishou
Java 中接口和抽象类的区别  简单	18	kuaishou
如何解决 Spring 的循环依赖问题？  简单	18	kuaishou
简述 Spring 注解的实现原理  简单	16	kuaishou
什么是公平锁？什么是非公平锁？  简单	16	kuaishou
在一个静态方法内调用一个非静态成员为什么是非法的？	14	kuaishou
什么是设计模式，描述几个常用的设计模式  中等	14	kuaishou
Java 异常有哪些类型？  简单	12	kuaishou
简述 TCP 三次握手以及四次挥手的流程。为什么需要三次握手以及四次挥手？  中等 参考1 参考2	38	kuaishou
从输入 URL 到展现页面的全过程  困难 参考1	32	kuaishou
DNS 查询服务器的基本流程是什么？DNS 劫持是什么？  中等 参考1 参考2	32	kuaishou
TCP 怎么保证可靠传输？  中等 参考1 参考2	24	kuaishou
什么是 TCP 粘包和拆包？  简单	24	kuaishou
简述 HTTPS 的加密与认证过程  中等 参考1	22	kuaishou
TCP 与 UDP 在网络协议中的哪一层，他们之间有什么区别？  简单 参考1 参考2	18	kuaishou
简述对称与非对称加密的概念  简单	18	kuaishou
如何解决 TCP 传输丢包问题？	16	kuaishou
MySQL 为什么使用 B+ 树来作索引，对比 B 树它的优点和缺点是什么？  中等 参考1 参考2	48	kuaishou
简述一致性哈希算法的实现方式及原理  困难	30	kuaishou
简述什么是最左匹配原则  简单	28	kuaishou
为什么 Redis 在单线程下能如此快？  中等 参考1	28	kuaishou
MySQL 联合索引底层原理是什么？  中等	26	kuaishou
数据库的事务隔离级别有哪些？各有哪些优缺点？  中等 参考1 参考2	26	kuaishou
Redis 如何实现分布式锁？  困难 参考1 参考2	24	kuaishou
产生死锁的必要条件有哪些？如何解决死锁？  中等 参考1 参考2 参考3	22	kuaishou
Redis 有几种数据结构？Zset 是如何实现的？  中等 参考1 参考2	22	kuaishou
简述常见的负载均衡算法  简单 参考1	22	kuaishou
简述 MySQL 的主从同步机制，如果同步失败会怎么样？  中等	22	kuaishou
MySQL中 InnoDB 和 MylSAM 的区别是什么？  简单 参考1	22	kuaishou
聚簇索引和非聚簇索引有什么区别？  简单 参考1 参考2	22	kuaishou
简述乐观锁以及悲观锁的区别以及使用场景  简单 参考1 参考2	18	kuaishou
简述 MySQL 常见索引类型，介绍一下覆盖索引	16	kuaishou
如何设计数据库压测方案？	16	kuaishou
简述 Redis 字符串的底层结构  简单	14	kuaishou
进程间有哪些通信方式？  困难 参考1 参考2	30	kuaishou
简述自旋锁与互斥锁的使用场景  中等	22	kuaishou
进程和线程之间有什么区别？  简单 参考1 参考2	20	kuaishou
电商系统中，如何实现秒杀功能？如何解决商品的超卖问题？  困难 参考1	20	kuaishou
如何解决缓存与数据库不一致的问题？  中等 参考1	20	kuaishou
简述中间件削峰和限流的使用场景	20	kuaishou
最近在看什么书吗，有没有接触过什么新技术？	30	kuaishou
你用过快手吗？说说对对快手的看法，使用上有哪些优缺点  简单	28	kuaishou
实习的内容是什么？最大收获是什么？	24	kuaishou
未来的职业规划是什么？	22	kuaishou
你的性格和技能上有什么缺点	18	kuaishou
简单描述一下自己是怎么样的人？	18	kuaishou
为什么想要来快手？  简单	16	kuaishou
学习中遇到的最大的困难是什么？	16	kuaishou
最有成就感的项目是什么？	14	kuaishou
能接受多大强度的加班？	10	kuaishou
